Year,State,State ANSI,County,County ANSI,Commodity,Value
2021,ILLINOIS,17,DE WITT,39,CORN,209.19999999999999
2021,ILLINOIS,17,LOGAN,107,CORN,209.5
2021,ILLINOIS,17,MACON,115,CORN,221.09999999999999
2021,ILLINOIS,17,MARSHALL,123,CORN,214.5
2021,ILLINOIS,17,MASON,125,CORN,197.40000000000001
2021,ILLINOIS,17,MCLEAN,113,CORN,205.69999999999999
2021,ILLINOIS,17,MENARD,129,CORN,201
2021,ILLINOIS,17,PEORIA,143,CORN,215
2021,ILLINOIS,17,STARK,175,CORN,217.19999999999999
2021,ILLINOIS,17,TAZEWELL,179,CORN,204.80000000000001
2021,ILLINOIS,17,WOODFORD,203,CORN,220.19999999999999
2021,ILLINOIS,17,CHAMPAIGN,19,CORN,222.40000000000001
2021,ILLINOIS,17,FORD,53,CORN,199
2021,ILLINOIS,17,IROQUOIS,75,CORN,194.19999999999999
2021,ILLINOIS,17,KANKAKEE,91,CORN,191
2021,ILLINOIS,17,LIVINGSTON,105,CORN,208.5
2021,ILLINOIS,17,PIATT,147,CORN,212.80000000000001
2021,ILLINOIS,17,VERMILION,183,CORN,196.90000000000001
2021,ILLINOIS,17,CLARK,23,CORN,205.19999999999999
2021,ILLINOIS,17,CLAY,25,CORN,210
2021,ILLINOIS,17,COLES,29,CORN,220
2021,ILLINOIS,17,CRAWFORD,33,CORN,203
2021,ILLINOIS,17,EDGAR,45,CORN,207.90000000000001
2021,ILLINOIS,17,EFFINGHAM,49,CORN,212.80000000000001
2021,ILLINOIS,17,FAYETTE,51,CORN,207.19999999999999
2021,ILLINOIS,17,LAWRENCE,101,CORN,191.09999999999999
2021,ILLINOIS,17,MARION,121,CORN,201.59999999999999
2021,ILLINOIS,17,MOULTRIE,139,CORN,221.80000000000001
2021,ILLINOIS,17,SHELBY,173,CORN,208
2021,ILLINOIS,17,BOONE,7,CORN,200
2021,ILLINOIS,17,COOK,31,CORN,170.30000000000001
2021,ILLINOIS,17,DE KALB,37,CORN,202.69999999999999
2021,ILLINOIS,17,GRUNDY,63,CORN,201.40000000000001
2021,ILLINOIS,17,KANE,89,CORN,206.5
2021,ILLINOIS,17,KENDALL,93,CORN,211.59999999999999
2021,ILLINOIS,17,LAKE,97,CORN,164.19999999999999
2021,ILLINOIS,17,WILL,197,CORN,187.59999999999999
2021,ILLINOIS,17,BUREAU,11,CORN,203.5
2021,ILLINOIS,17,CARROLL,15,CORN,205
2021,ILLINOIS,17,HENRY,73,CORN,202.5
2021,ILLINOIS,17,JO DAVIESS,85,CORN,199.90000000000001
2021,ILLINOIS,17,LEE,103,CORN,198.40000000000001
2021,ILLINOIS,17,OGLE,141,CORN,196.19999999999999
2021,ILLINOIS,17,PUTNAM,155,CORN,200.30000000000001
2021,ILLINOIS,17,ROCK ISLAND,161,CORN,206.30000000000001
2021,ILLINOIS,17,STEPHENSON,177,CORN,202.90000000000001
2021,ILLINOIS,17,WHITESIDE,195,CORN,202.59999999999999
2021,ILLINOIS,17,WINNEBAGO,201,CORN,195.80000000000001
2021,ILLINOIS,17,EDWARDS,47,CORN,186.80000000000001
2021,ILLINOIS,17,FRANKLIN,55,CORN,177.69999999999999
2021,ILLINOIS,17,GALLATIN,59,CORN,191.69999999999999
2021,ILLINOIS,17,HARDIN,69,CORN,175.90000000000001
2021,ILLINOIS,17,JEFFERSON,81,CORN,174
2021,ILLINOIS,17,SALINE,165,CORN,191.80000000000001
2021,ILLINOIS,17,WABASH,185,CORN,187.90000000000001
