Year,State,State ANSI,County,County ANSI,Commodity,Value
2021,ILLINOIS,17,DE WITT,39,SOYBEANS,69.599999999999994
2021,ILLINOIS,17,MACON,115,SOYBEANS,73.299999999999997
2021,ILLINOIS,17,MASON,125,SOYBEANS,63.899999999999999
2021,ILLINOIS,17,MCLEAN,113,SOYBEANS,66.5
2021,ILLINOIS,17,MENARD,129,SOYBEANS,64.599999999999994
2021,ILLINOIS,17,PEORIA,143,SOYBEANS,68.599999999999994
2021,ILLINOIS,17,STARK,175,SOYBEANS,69
2021,ILLINOIS,17,TAZEWELL,179,SOYBEANS,69.700000000000003
2021,ILLINOIS,17,WOODFORD,203,SOYBEANS,67.5
2021,ILLINOIS,17,CHAMPAIGN,19,SOYBEANS,74.200000000000003
2021,ILLINOIS,17,FORD,53,SOYBEANS,65.799999999999997
2021,ILLINOIS,17,IROQUOIS,75,SOYBEANS,56.899999999999999
2021,ILLINOIS,17,KANKAKEE,91,SOYBEANS,60.899999999999999
2021,ILLINOIS,17,LIVINGSTON,105,SOYBEANS,65.200000000000003
2021,ILLINOIS,17,PIATT,147,SOYBEANS,76.099999999999994
2021,ILLINOIS,17,VERMILION,183,SOYBEANS,66.299999999999997
2021,ILLINOIS,17,CLARK,23,SOYBEANS,65
2021,ILLINOIS,17,CLAY,25,SOYBEANS,58.299999999999997
2021,ILLINOIS,17,CRAWFORD,33,SOYBEANS,64.099999999999994
2021,ILLINOIS,17,EDGAR,45,SOYBEANS,69.200000000000003
2021,ILLINOIS,17,EFFINGHAM,49,SOYBEANS,63.899999999999999
2021,ILLINOIS,17,FAYETTE,51,SOYBEANS,62.600000000000001
2021,ILLINOIS,17,LAWRENCE,101,SOYBEANS,59.5
2021,ILLINOIS,17,MARION,121,SOYBEANS,59.299999999999997
2021,ILLINOIS,17,MOULTRIE,139,SOYBEANS,71.200000000000003
2021,ILLINOIS,17,SHELBY,173,SOYBEANS,66.200000000000003
2021,ILLINOIS,17,BOONE,7,SOYBEANS,67.599999999999994
2021,ILLINOIS,17,COOK,31,SOYBEANS,45.100000000000001
2021,ILLINOIS,17,DE KALB,37,SOYBEANS,62.899999999999999
2021,ILLINOIS,17,GRUNDY,63,SOYBEANS,58.600000000000001
2021,ILLINOIS,17,KANE,89,SOYBEANS,66.700000000000003
2021,ILLINOIS,17,KENDALL,93,SOYBEANS,65.200000000000003
2021,ILLINOIS,17,LAKE,97,SOYBEANS,49.899999999999999
2021,ILLINOIS,17,WILL,197,SOYBEANS,57.600000000000001
2021,ILLINOIS,17,BUREAU,11,SOYBEANS,65.400000000000006
2021,ILLINOIS,17,CARROLL,15,SOYBEANS,67.799999999999997
2021,ILLINOIS,17,HENRY,73,SOYBEANS,67.099999999999994
2021,ILLINOIS,17,JO DAVIESS,85,SOYBEANS,58.700000000000003
2021,ILLINOIS,17,LEE,103,SOYBEANS,66.599999999999994
2021,ILLINOIS,17,OGLE,141,SOYBEANS,60.5
2021,ILLINOIS,17,PUTNAM,155,SOYBEANS,61.200000000000003
2021,ILLINOIS,17,ROCK ISLAND,161,SOYBEANS,63.600000000000001
2021,ILLINOIS,17,STEPHENSON,177,SOYBEANS,63.600000000000001
2021,ILLINOIS,17,WHITESIDE,195,SOYBEANS,66
2021,ILLINOIS,17,WINNEBAGO,201,SOYBEANS,56.899999999999999
2021,ILLINOIS,17,EDWARDS,47,SOYBEANS,62.200000000000003
2021,ILLINOIS,17,FRANKLIN,55,SOYBEANS,52.5
2021,ILLINOIS,17,GALLATIN,59,SOYBEANS,61.299999999999997
2021,ILLINOIS,17,HARDIN,69,SOYBEANS,50.100000000000001
2021,ILLINOIS,17,JEFFERSON,81,SOYBEANS,46.899999999999999
2021,ILLINOIS,17,MASSAC,127,SOYBEANS,52
2021,ILLINOIS,17,SALINE,165,SOYBEANS,58.799999999999997
2021,ILLINOIS,17,WABASH,185,SOYBEANS,59.700000000000003
2021,ILLINOIS,17,WHITE,193,SOYBEANS,62.600000000000001
2021,ILLINOIS,17,ALEXANDER,3,SOYBEANS,57.899999999999999
